Income,INC110213,Poverty
19037,38425,22.3
18640,34848,27
17641,30521,26
19783,41534,21.5
18557,37898,19.8
13238,23451,30.7
17879,33796,32.3
16993,32424,21.8
14381,25465,30
15280,37587,27.4
17078,27455,28.2
12489,26634,30.5
16836,32628,31.6
19983,34035,26.5
18933,34591,27.9
18716,31189,26.9
20419,36570,16.3
19410,37894,25.8
21443,41161,23.6
17609,28326,22
17952,31234,28.7
22156,40009,17.7
17978,35329,20.5
20865,39963,16.7
22824,52369,13.8
18842,34572,24.3
17884,27796,31.6
17515,33652,25
17270,35830,22.7
19082,35718,22.5
8948,24382,31.3
22059,40670,20.1
19497,40471,20.5
13228,32928,27.8
17120,28983,27.3
17228,36173,21.3
18551,35792,20.2
24635,51250,18.3
30361,72764,9.8
26658,62052,11.2
29517,63512,10.6
25564,47892,9.5
23707,45871,11.3
24926,48831,12.6
21599,39208,15.2
30919,48313,9.5
26624,56669,8.4
24273,45747,17
27149,51826,10.1
28727,61216,7.3
27038,55553,9.9
22899,46951,12.8
25269,52026,9.8
25766,44484,13.4
25430,48361,9.6
25448,43481,11.4
26567,58088,8
27291,44795,13.2
26330,48977,9.7
24139,43971,10.3
23472,43216,13.7
29060,49035,8.9
25074,47494,12.5
25966,49559,14
22748,46548,15.8
35844,73847,6.4
22210,45040,21.2
18845,36326,19.5
26261,54076,8.4
24408,42451,13.8
31790,56136,7.8
26254,51475,10.9
27908,48601,12.5
23391,45542,11.5
24590,43826,12.6
26102,48355,11.1
26930,50520,10.2
26205,45865,13
31164,56827,7
28030,50609,10.3
24510,43589,12.3
25814,50105,10.4
25153,49342,8.6
26184,54583,9.6
22687,46376,17.9
24286,46429,11.6
26746,47897,10.2
25869,43449,14.4
28068,58008,10.9
24493,46467,10.5
24905,50513,11.8
27593,48814,12.4
29592,53424,17.7
26762,55041,8.3
22243,42167,13.2
29127,51812,8.7
22649,42469,15.1
29943,57260,9.7
24272,50583,12.2
21126,43288,17
23683,52152,8
27685,57581,8.9
23788,47967,15.9
25477,54723,9.2
24117,51555,12.1
27101,63076,7
24518,51078,7.1
24557,42025,9
24508,45997,11.8
22868,44281,16.1
25038,51425,14.4
28086,48185,11.3
24653,48659,8.6
23496,43010,13.9
25055,44663,9.2
27942,58888,6.4
25556,44073,14.2
30442,59018,11.8
25847,51304,13.8
25318,50349,12.8
23324,44551,13.1
26350,48093,8.7
28948,52735,13.1
26387,48783,10.8
24324,57227,8.2
25986,50516,20.9
25311,51670,11.5
23793,43804,14.5
23007,44838,16.1
21368,43181,16.5
22699,41425,19.1
29088,62535,7.3
26459,54554,9.8
22127,40024,12.4
24203,41624,15.8
24547,45603,11.4
25062,53122,8.4
23269,45856,15.7
26187,50476,11.5
25827,45205,11
27452,55210,13.1
21555,35434,16.6
21327,43534,15.5
21853,44964,12.9
20198,39049,14.7
18872,47941,15.2
35524,64042,8.3
24324,41056,17
23221,41414,15.2
22657,50872,11.4
19877,37003,16.5
20995,41131,15.7
21830,41154,15.5
17755,42105,20.4
23586,53586,7.8
17801,42039,15.9
20032,33200,14.9
20256,40134,12.5
23965,39541,16.1
20646,42842,16.3
17620,44962,12.2
19475,44520,12.4
20250,44432,18.2
18373,37050,20.8
19168,37349,17.5
19598,52023,13.1
17182,40126,18.3
24685,49002,13.4
22322,41735,20.4
23998,34122,23.3
19910,36000,17.9
16530,42433,16.6
15133,32059,35.8
19597,43266,13.6
24257,46503,11.1
18920,40842,16.1
15945,32175,24.2
19165,43649,20
17684,44212,13.9
20487,38440,17.4
22436,53931,11.7
20588,43886,15
25785,50473,9.5
20380,37453,15
24217,45073,14.4
13619,26972,31.6
23195,48163,14.6
25888,60893,11.3
20555,42194,12.3
26705,48977,11.6
26924,50436,11.9
27118,47985,13.7
22257,45734,14.8
25713,45808,22.3
23915,45145,14.9
24296,47405,12.3
22279,40640,15.6
27802,61720,8.9
21970,37040,22
30183,54548,16.9
25214,46216,14.4
22952,43958,13.9
23696,53375,19
26704,51051,14
23732,52741,10.3
38570,78487,6.9
23368,42133,18.4
20898,39075,11.4
27051,52108,9.1
21523,44722,17
25448,48866,10.5
20394,36273,19.1
22318,45130,13.3
23862,40330,17.2
22307,43502,13.2
28725,64541,9
21960,38417,17.1
23714,43925,13.6
22366,37071,23.6
25902,49389,11.3
27117,52940,10.5
25098,47079,13.7
20527,33479,30.4
24174,52233,6.6
22620,42981,16.5
25467,53954,7.6
29675,50817,9.5
18763,40760,14.1
30082,69530,11.1
23779,50102,16.4
31276,81765,4.8
22093,40667,16.7
38018,77469,9
25709,52640,12.2
14147,40145,13.3
25409,50060,10.7
24952,54614,10.3
21445,47133,13.8
26232,46559,17.6
24658,49590,12.4
27407,53633,14
21887,41010,18.1
25975,51504,11
23199,42260,16.3
22047,43615,16.3
20042,36031,23.1
32341,76145,7.7
30460,62089,14.2
28330,58190,9.8
26620,53136,10.1
31758,68482,5.4
19917,41952,14.1
24337,46809,14.4
23786,46622,12.8
26635,54541,11.3
28438,50712,17.2
19716,42078,18.4
31190,63027,6.2
21344,39845,16.6
20448,38371,17
19867,33717,18.8
27074,54196,14.2
21976,47427,12.4
23621,44070,14.2
26455,48702,13.3
21596,37800,19.1
29974,55449,14.2
23656,48138,15.9
24471,49669,12.3
23069,47188,11.8
26234,50578,17.6
26843,54203,11.1
23350,43472,15.9
28037,56067,9.1
21719,41848,19.5
21225,41400,19.6
24096,47365,12.7
21832,43536,15.8
26325,52832,10.2
22526,43605,14.7
25375,42914,15.6
24525,47667,12
30377,76147,8
23605,43125,15.6
24495,47072,17.5
30926,66639,8.8
20160,46695,18.1
25279,49370,15.3
27359,54165,12.2
23049,48711,11.1
20322,39225,16
37482,67255,7.5
25833,51568,14.6
24531,50542,10.7
21700,41940,16.5
24312,50496,12.2
21474,46430,15.8
21554,48953,13.9
20504,39700,19.6
21416,47165,12.9
27058,56946,9.1
22046,48047,14.1
22827,47247,12.4
20854,37474,22.3
25589,54780,8.3
21109,45693,16.7
18757,37391,23
27185,53961,13.3
23063,45884,11.9
24085,49516,13.5
21226,40168,15.5
24258,49329,11.5
20516,39747,18.6
22235,43980,14
39521,82468,5.1
28111,62981,7.6
23244,50510,13.2
29830,68297,5
20309,40679,17
24071,43590,16.7
22601,46148,12
22568,46501,13
24297,57500,7.7
19236,40235,14.7
21524,43795,13.6
20109,44128,16.7
28575,61231,10.6
21047,42119,14
24881,50859,11.9
19356,47617,16.5
23918,49035,17.8
22852,47538,16.5
22169,42627,15.2
21527,43120,17.3
24124,42334,20.4
21933,45709,15.2
22817,44740,14.6
20475,42023,17.2
23032,40052,25.1
22679,46797,16.8
25781,55354,11.5
25594,50262,11.2
21889,47117,14.2
25443,50377,8.3
18576,38826,17.9
21318,43950,14
20534,43870,13.3
20934,47596,10.9
22245,40680,12.7
28669,62794,10.4
29187,58750,9.9
21641,44764,14
21520,50821,9.7
21592,40904,17.4
22059,47537,9.4
23396,47401,15.4
20481,42898,19
24459,51440,12.9
23641,52991,12.6
23509,44582,17.7
19773,40126,16.9
23975,48080,11.5
19821,43510,17.9
20019,44143,22.2
23691,44246,21.6
25093,52686,9.4
20883,44161,12.7
24378,43540,15.9
22875,42524,15.8
21192,40692,20
21201,45286,15.1
27390,52317,7.1
29927,62351,9
21370,41986,15.1
21114,38350,21.8
24269,48136,10.7
23666,51444,10.8
24613,51914,8.2
20552,40554,17
22139,41713,12.8
21909,45212,17.1
26229,45920,10.6
25800,44981,13.9
19340,39591,19.3
21046,39968,19
27329,56454,8.4
21775,36815,13.1
21245,39529,15.2
19580,39746,18.4
23677,37875,11.2
25385,41129,12.7
24503,45233,14
20467,38534,16.3
27627,51793,9.1
21041,39375,6.4
21519,41878,17.6
20974,37378,20.6
27154,39333,10.1
23895,48890,10.9
22713,46512,12.3
26342,49508,19
24714,46551,12.9
20322,34089,18.5
24291,43085,16.2
22789,45865,6.9
21629,47945,16
19994,51178,15.5
22979,49543,13.1
21408,46908,12.1
26233,44866,10.3
28146,47500,11.2
26370,53213,13
25537,57808,11.2
32650,52847,5.4
22280,38346,16.1
24510,43357,11.2
22820,38313,16.5
23775,50287,12.8
25114,52415,10.4
30440,52375,5.2
24117,54546,9.4
26280,56875,7.7
23134,39884,12.5
38827,74717,6.5
22292,52264,10.1
24026,47466,12.5
23232,44650,12.3
22394,40916,15.3
31694,53021,10.3
27017,63435,10.7
23686,40811,12.8
26224,45519,12.9
25328,41765,12.8
19789,38981,21.1
22269,45830,12
25262,44032,12.2
27462,54167,8.2
21990,51000,9.5
28412,58936,9.5
26911,46667,9.7
21332,39669,19.4
24680,47445,8.3
22378,46607,11.3
24550,47122,11.5
21163,42071,20.7
30223,48800,12.7
22942,46029,9.4
24789,50205,10.6
26313,37925,17.3
26614,58396,9.5
23230,44078,6.3
23772,43059,10
24892,56854,9
26209,46035,11.6
26897,43482,11.5
23382,43798,12.4
25531,39572,12.5
23068,45336,14.9
22948,43962,23.2
23768,42449,18.3
24175,42610,12.8
24683,37111,14.6
24935,47215,17.4
26274,50605,11.3
25603,49865,15.3
19015,50185,19.4
26057,48451,16.7
26841,48674,12.9
21476,38634,16.8
26811,45556,15.4
23240,43292,15.1
21712,46382,4
24950,54494,15.1
22972,47894,13.4
26903,48187,11.2
23095,45714,6.7
24199,54694,6.4
25429,47454,8.4
22621,42515,10.2
23799,53018,9.9
19929,38917,17.8
21774,33839,19.6
18957,39402,23.9
17371,32524,19.1
19086,40008,18.6
24161,52646,11.3
24781,44588,14.4
19745,38873,20.8
16367,30797,28
15091,26228,33.5
29235,67225,9
22893,40933,17.2
24530,40379,19.9
22249,41473,18.3
20918,39196,16.8
14706,24045,32.5
18101,38907,19.6
24308,54836,10.2
18136,35430,25.1
20327,37127,21.4
21490,39677,20.1
26945,54306,13
21500,39049,16.2
19429,40160,29.9
19204,36406,20.3
15603,29934,26.8
19773,38904,20.5
24524,45853,15.4
13542,21883,37.7
16795,27100,24.4
21375,34261,20.8
