BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207
89496,1381148,2.4,278270,329380,1.3,1,19.2,0.3,12.4,28.4
9707,129592,3.2,29974,36890,1.2,0,6.6,0,5.3,28.3
593,3656,-2,1529,2277,0,0,0,0,0,23
34773,493307,3.4,152801,163248,5.2,0,8,0,24,30.4
27571,428475,5.5,95166,108950,6.4,1.2,14.9,0.3,8.5,32.1
927,10161,7.2,3307,3652,0,0,0,0,0,30.3
32426,538336,3.4,135455,151888,7.9,0,11.5,0.3,27.7,30.6
78379,1181133,2,246649,291124,2.9,1.3,10,0.3,15.2,29.9
32360,542366,3.8,89078,105030,2.7,0,24,0.2,6.6,30.1
10668,166252,2.2,34735,41137,5.7,0,16.2,0.4,17.4,31
7873,86125,2.7,23558,29920,0,1.1,3.6,0,7.9,27.7
20342,347658,4.4,63460,74604,1.6,0.9,18.6,0.5,11.7,29.9
11211,137623,2.5,32058,39834,0,1.1,5.9,0,13.9,28.3
46212,926766,3.5,128730,156084,0,1,28.5,0.4,10.8,29.7
6779,70493,2.9,23649,29122,0,0,4.8,0,0,34.2
4126,47159,1.5,11542,0,0,0,0,0,0,0
67,198,22.2,235,0,0,0,0,0,0,0
1075,8222,1.2,3249,4549,0,0,0,0,5.2,29.3
6677,103470,3.6,21658,27428,8.9,1.4,15.5,0,11.3,30.9
13370,152105,2.9,43454,52458,0,1,0,0,7.8,30.4
8516,128728,2.3,25939,31324,2.6,1.4,8.6,0,16.2,30
1696,19962,4.2,5193,6625,0,0,0,0,0,28.2
956,11381,2.6,3232,4272,0,0,0,0,0,32
253,1477,6.1,970,1481,0,0,0,0,0,0
6142,88795,2,19668,24881,1.4,1.9,0,0,26.1,27.2
1289,12223,2.4,4033,5706,0,0,0,0,0,0
20089,247116,2.6,64224,80179,1.3,1.6,7,0,15,28.8
3878,60719,1.4,11858,14782,0,0,10.5,0,11.2,29.9
820,9130,4.9,3141,4111,0,0,0,0,11,41.6
8559,137849,3,28546,32777,1.6,0,3.8,0,14,29.8
475,5383,-2.7,1096,1341,0,0,0,0,19.4,25.4
17284,259423,5.3,50623,61951,4.1,0.8,5.2,0.1,6.2,28.4
490,2965,8.1,1892,2521,0,0,0,0,0,17.4
90,525,-5.4,363,0,0,0,0,0,0,0
57,551,-1.8,219,331,0,0,0,0,0,0
11696,139136,0.9,35710,42506,0.5,0.5,2.4,0,3.5,30.2
1810,33426,7.1,5010,6284,1.3,0,3.9,0,2,0
860,5367,-3.6,2113,3369,0,0,0,0,4,27.8
58,745,9.9,197,304,0,0,0,0,0,0
327,2574,5.4,978,1193,0,0,0,0,0,0
106,697,2.2,623,893,0,0,0,0,0,0
42,255,19.7,241,370,0,0,0,0,0,0
33,478,-18.3,163,0,0,0,0,0,0,0
143,543,7.3,655,0,0,0,0,0,0,0
818,6620,-1.1,2656,4029,0,0,0,0,0,0
