MAN450207,WTN220207,RTN130207,RTN131207,AFN120207
0,0,18191,1451,1372
410798,0,326453,14719,39028
187845,0,189274,11687,15778
0,103913,466567,21598,49886
1021401,0,395435,13854,24104
7489009,9361148,7973387,10867,1207713
199135,9821,167117,8452,12514
303771,61913,151362,13121,6625
0,1175674,1543650,16198,170969
989859,929175,2055804,16536,212285
832266,131927,75758,6416,6271
0,0,0,0,0
0,63037,322581,6345,26103
515223,106277,136950,6644,14557
448400,93384,184041,8160,14804
354790,0,153912,13507,6395
0,41794,293099,12995,29653
1744689,877241,1390039,13122,171207
3346076,636186,1039780,10932,144251
2318605,2503452,1960919,12382,183104
430397,107788,315062,14431,22760
10428483,40824135,13239670,13363,4133808
354553,45815,370523,12965,36555
0,0,4815,1739,0
0,270865,1351775,18083,398301
2528116,0,659417,12680,62480
183214,201332,168147,6750,13083
673247,31905,137147,8715,60642
6480318,28829120,13857021,17939,1264671
968514,0,492128,11672,41762
6068981,4914547,2220699,12417,224064
0,0,21008,2183,1031
952054,53193,313130,10907,14624
0,0,66126,2271,43474
244785,58960,170726,7077,16806
0,0,24751,2167,1886
1695755,3076624,1907354,10315,243225
1422893,0,1524261,11610,206115
0,94087,27252,2734,2608
1801528,568845,559370,9365,33343
187450,0,33351,2442,3412
242915,35858,204381,15440,9883
303595,127174,129391,7897,11202
116890,0,53910,6311,3823
0,0,25209,2678,1384
0,42353,70608,2588,13415
0,0,113965,6732,12041
0,0,0,0,0
0,252146,613069,12912,66796
0,118292,123990,3754,6881
0,0,539287,8908,62915
0,9380,39568,4927,5229
0,0,17394,1548,1830
2237776,756457,1804839,17744,209463
207779,37439,206576,7764,33394
397403,39536,47915,3588,5623
0,57790,119211,4291,7222
0,0,71742,10179,1021
0,0,350350,16276,23602
0,0,113983,9952,19840
233413,0,100756,4421,14833
0,14952,53450,8671,2935
0,169162,150978,6268,15388
118057,0,114402,4563,23756
0,0,24737,2753,2877
239487,54916,276447,15202,40310
1605675,89355,218860,5374,24649
2111391,1173616,2889210,15482,428162
2205094,226621,679365,7096,93483
0,72919,326375,10357,38870
0,8455,69636,4988,1816
255438,176471,973010,7607,108987
1057803,0,317396,12122,28726
104755,112023,320506,10541,27773
0,0,99714,5586,8687
0,16741,33873,1970,2432
698637,0,314659,7592,35178
0,21369,84491,8619,13668
316112,75508,204112,10073,19813
0,0,2769,1045,0
138701,0,234433,14153,41073
0,41661,44341,6087,3852
5256290,916435,2505076,12695,395411
1778787,515574,1450095,17720,196568
215937,0,18573,4503,879
183823,17545,93578,6219,8297
0,48751,76470,8485,5449
2285175,604327,661569,10492,77353
535710,0,274713,10895,26220
0,2608,23878,5203,2689
411966,238965,326121,10016,33712
0,0,4663,710,0
0,0,1710,925,0
0,152023,102403,4457,9522
0,21407,46384,5359,1590
0,30505,77349,5817,11149
0,0,68284,6657,0
657550,575289,627509,13852,49874
547460,612216,721588,17119,92037
0,665035,386338,13914,42329
0,6174,102261,9426,31033
0,0,30428,4407,1792
2470774,0,798823,12600,88719
0,103211,64546,6881,6479
0,0,30340,2969,1349
0,38051,246740,11809,21565
526494,0,208661,7575,22893
2060559,0,344223,5332,25369
591825,260436,797195,9577,58350
0,762673,621068,17285,55465
0,0,23192,3954,749
0,69978,213695,10248,16524
663428,0,310344,10703,32909
0,3477,4748,2095,0
0,8175,18141,2674,0
103902,40427,280664,11284,51128
7524935,1351910,1440223,15535,144781
0,0,27365,3157,612
174306,19021,73407,7168,7075
521536,13316,24250,2418,1377
0,116373,132224,6203,6544
290120,732242,2566012,14816,874735
8201881,7377106,11518349,12817,4123825
0,209395,1052671,16730,591483
262749,575929,2474819,17437,2452167
0,29361,49644,6546,4128
0,14217,32586,7950,0
0,154490,128662,8922,8456
151576,23061,133534,10331,7996
0,47778,37302,6083,0
176791,213218,176434,6645,9616
5880301,1278450,1929430,15224,194601
161292,0,210610,8009,16172
699712,105620,268428,11358,16655
640836,624511,214820,10242,11530
1578035,0,260846,13408,25523
0,288359,79082,5407,0
0,200683,103509,10402,0
794027,1350539,298050,14338,20787
0,151451,178171,12846,11638
178789,221842,131334,7317,9509
1357504,650482,887071,20200,83915
279270,114673,139445,11935,8706
278276,210062,103931,8537,7433
416569,6297,95388,10579,84923
0,425115,298664,17960,23407
206396,564637,163572,9249,53722
3914945,190114,635654,12950,54058
1266847,121956,162386,9840,12931
574183,218271,905710,15813,110369
0,17902,71612,8351,3054
0,76650,39590,4746,4323
326438,302380,171404,9791,9038
0,0,616900,15182,68773
647529,0,255190,15386,54611
4711245,1847726,1433461,15538,145685
331366,103865,92665,8961,7910
157746,304189,157244,7716,14582
461397,121913,149138,9192,13656
260008,154569,65933,6207,4424
0,105476,102932,13599,14804
0,144862,87923,9258,3859
143848,269850,109363,9049,4346
0,0,91301,8262,8345
1162374,558307,149277,9607,12245
266775,171681,119314,10549,4144
743136,1191033,161778,9242,11447
0,130170,100916,6546,10399
889862,90587,214737,10665,22246
272970,143611,83186,8789,4842
289818,183078,82011,8520,7477
372971,147075,61131,8758,0
1478930,80218,213413,13512,25049
247956,109127,209951,10547,14490
170755,0,273960,7492,30110
246631,114630,333485,21471,16610
0,567646,1653057,13168,258762
180765,144654,257667,12629,9765
0,122304,66877,6236,0
474756,318352,195827,12670,11502
0,396254,420758,11745,36970
8229178,2506126,3592845,17502,353610
0,0,56465,4798,4530
0,1472,84344,8919,0
100917,215272,91091,8113,0
0,0,80594,5253,7596
1618526,0,242911,10995,16819
1856906,0,333092,10201,28951
1848040,298112,407694,10434,40400
0,23046,78569,5187,5388
252014,228655,93053,8627,5070
0,77612,99152,10868,7234
0,46184,62488,8256,0
180839,150731,88288,8071,7599
0,377484,448581,10566,44245
304999,322652,169740,12093,9778
0,0,40538,6291,0
348217,116438,163001,10243,12573
401373,132484,65829,6988,34628
0,243010,299650,12330,21970
0,86944,79888,10492,0
7519907,6697167,6714418,16130,825244
0,2256650,1503395,16784,451451
462194,118099,241342,12932,17021
0,26024,63578,12562,0
0,164976,92468,8983,0
5745095,0,2852978,17574,423931
0,158609,135125,10996,8692
1152404,753139,394422,12319,31746
1970829,432009,968345,11361,151011
0,154880,112481,6366,0
0,40979,25098,3906,0
214327,384667,153754,12759,11160
0,0,36920,4810,0
1840383,0,500711,14167,41514
0,628117,328428,7415,25116
0,185719,195045,9221,114716
0,27010,49159,7824,0
1909417,0,577547,15022,61910
1094325,169959,114958,10672,6386
288679,167268,289636,13909,21459
2827480,1739995,1511955,14913,158358
248922,0,28655,3759,4736
863324,291061,100154,7681,7591
4942388,6006918,5855102,15720,795953
0,0,19965,5627,0
0,386587,1099246,13706,117808
0,23383,58739,10031,0
0,6085,93862,10111,0
624524,0,339940,7822,24298
0,285858,356031,16414,153302
0,0,18745,2465,5741
498636,149654,485307,11788,63260
0,1881605,1871454,19405,153475
0,19692,86256,7945,0
0,5209,18069,6500,0
0,0,0,0,1518
0,992925,2176039,12171,140865
443222,94559,68364,9967,0
371255,335892,318904,15216,33455
0,0,0,0,0
0,13677,69845,8489,0
0,0,35092,8542,11270
0,53448,241226,8319,26980
0,49543,113519,9319,5841
0,76724,68167,5412,10050
0,13552,113895,6914,9205
0,118908,88226,6158,0
0,64841,97645,6395,14650
0,0,92388,4058,7387
764164,103712,300421,15013,14045
992158,843286,2175172,16242,303725
0,0,361668,9697,55179
0,0,122983,15806,7704
0,0,29657,8193,0
0,0,16924,3721,2350
0,161967,407686,10971,32041
381084,347045,162891,8722,18923
0,0,702969,18133,64508
0,0,24106,5834,2135
0,34609,50935,4653,4150
0,133096,145621,6401,12757
0,0,50445,6572,2596
0,25007,623117,48689,11068
0,0,84074,9987,10730
970292,497639,1259106,17270,112044
0,20494,135620,15201,43204
0,63380,76253,7645,0
0,0,928289,13888,0
0,0,22853,2785,0
0,217636,104527,5708,13125
