SEX255214,White,Black,RHI325214,RHI425214,RHI525214,RHI625214,Hispanic,RHI825214
48.9,0.771,0.012,17.8,0.9,0.1,2.9,0.257,59.3
50.6,0.844,0.057,2.8,4.1,0.3,2.8,0.303,57
49.7,0.92,0.013,2.9,1.2,0.2,2.3,0.158,78
49.8,0.51,0.013,44.9,0.7,0.1,2,0.111,42.2
50.8,0.855,0.041,4.3,3.1,0.2,2.8,0.361,53.3
47.8,0.832,0.049,6.8,1.9,0.4,2.8,0.292,57.9
52,0.962,0.009,1.3,0.7,0.1,0.8,0.828,15.6
51.1,0.936,0.009,2.1,1,0.1,2.2,0.142,80.9
48.8,0.913,0.027,2.2,1.5,0.3,2,0.617,32.9
51,0.517,0.121,1.1,28.9,1,5.2,0.227,32.8
48,0.703,0.003,24.7,1.3,0,3.4,0.096,64.7
46.9,0.907,0.021,2.2,1.4,0.2,3.3,0.13,79.6
50.5,0.866,0.018,2.5,4.6,0.3,4.2,0.155,73.5
50,0.919,0.01,1.9,1.5,0.2,3.5,0.115,82.1
48.6,0.916,0.012,2.6,1.8,0.6,2.3,0.581,36.7
51.3,0.673,0.096,1,16.4,0.6,5.1,0.252,45.6
45.2,0.786,0.035,9,3.7,0.2,5,0.19,63.3
49.9,0.898,0.01,1.3,4,0.2,3.6,0.127,78.7
50.1,0.772,0.059,3,10.7,0.3,3,0.519,30.9
49.6,0.9,0.012,2.9,3,0.2,2.7,0.404,53
50,0.84,0.014,6.2,2.8,0.3,5.4,0.108,75.5
48.9,0.897,0.035,2.6,2.3,0.2,1.7,0.823,12.3
49.9,0.814,0.01,12.8,1.6,0.1,3.1,0.209,64.3
48.7,0.827,0.063,2.6,5,0.3,3,0.515,36.2
44.8,0.813,0.073,3,4.4,0.3,3.6,0.532,33.7
50,0.877,0.021,4.1,1.4,0.3,4.5,0.191,72.1
36.3,0.816,0.088,4.2,1.4,0.6,3.4,0.185,66
50.7,0.713,0.092,1.5,14.8,0.4,2.9,0.484,26.8
51.9,0.86,0.043,4.5,2.5,0.3,2.4,0.561,35.8
51.2,0.86,0.029,1.1,6.1,0.3,3.7,0.16,72.2
49.2,0.901,0.011,3.4,1.4,0.2,3.8,0.103,81.4
50.2,0.863,0.01,6.3,2.2,0.3,4,0.241,66.2
49.5,0.82,0.042,2.5,8.1,0.4,3,0.575,29.5
49.5,0.889,0.012,5.1,1.2,0.3,3.2,0.148,77.6
46.7,0.916,0.008,2.9,1.8,0.3,2.7,0.279,65.8
49,0.826,0.035,2.7,6.9,0.6,3.7,0.574,31.2
50.3,0.848,0.024,1.2,8.1,0.4,3.2,0.337,53.7
50.8,0.936,0.006,1.2,1.4,0.2,3,0.092,85.6
50.6,0.735,0.021,1.1,19.6,0.4,3.3,0.343,42
51.2,0.859,0.017,1.1,7.1,0.2,4,0.135,74.2
49.8,0.909,0.012,3.2,1.1,0.1,3.5,0.084,84
50.3,0.805,0.07,1.9,6.8,0.4,3.4,0.474,37.4
51.1,0.646,0.109,1.5,15.8,1.2,6,0.225,46.6
49.8,0.884,0.013,3.1,3.5,0.4,3.3,0.583,36
50.2,0.773,0.095,2,7.3,0.5,3.4,0.517,30.6
49.8,0.763,0.056,1.3,11.9,0.6,4.3,0.332,46.7
49.1,0.538,0.058,0.8,34.9,0.5,4.2,0.153,41.2
50.2,0.681,0.081,2,15.9,0.7,5.2,0.405,34
49.1,0.89,0.022,1.4,3.8,0.2,3.4,0.22,69.5
50.8,0.625,0.03,0.9,27.7,1.6,4.4,0.253,40.4
49.9,0.859,0.024,2.2,5.7,0.2,3.5,0.444,45.9
49.7,0.564,0.029,1.3,34.9,0.5,4,0.266,33.3
50.4,0.877,0.014,1.8,4.8,0.2,4.1,0.332,58.2
51,0.885,0.011,3.1,3,0.2,4.2,0.094,80.9
