votes_dem_2016,votes_gop_2016,total_votes_2016,AGE135214,AGE295214,age65plus,SEX255214,White,Black,RHI325214,RHI425214,RHI525214,RHI625214,Hispanic,RHI825214,POP715213,POP645213,NonEnglish,Edu_highschool,Edu_batchelors,VET605213,Income,INC110213,Poverty,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,Density
34894,29072,67918,5,19.5,13.8,51.3,0.934,0.012,0.3,3.2,0.1,1.9,0.022,91.7,80.5,4.6,7.3,91.6,31.8,10446,29369,58825,10.5,2536,35159,-1.6,7643,10289,0.7,0,0,0,0.8,26.8,1185999,351111,1672899,13701,146812,416,368.98,333.7
10210,10796,22101,4.7,19.7,18.9,50.6,0.967,0.007,0.4,0.7,0,1.5,0.015,95.5,86.5,2.6,3.4,90.1,25.6,4465,28582,54463,9.9,937,11609,5.4,3272,4103,0,0,0,0,0,24.8,640776,0,562392,13154,32307,53,537.31,81.4
54472,47882,105738,6.1,22.1,15.8,51.6,0.713,0.173,0.7,8.2,0.1,2.5,0.185,56.8,88.7,16.3,25.9,84.4,24.2,16672,27391,54235,14.4,6495,114051,-2.4,15850,21027,7,0,7.4,0,0,27.8,0,1342162,4429395,16409,6093042,722,555.7,494.1
209251,163220,383965,5.2,21.7,16,51.6,0.744,0.068,0.4,16.3,0.1,1.9,0.185,58.6,92.4,29.6,38.7,91.3,45.9,37238,43347,83794,7.2,31524,429410,3,86102,106754,4.6,0.3,13.3,0,8.4,27.1,11973822,66117863,16474977,18602,1848306,3408,233.01,3884.5
108361,79539,194988,5.2,21.7,15.6,50.9,0.744,0.175,0.3,5,0.1,2.7,0.075,68.9,90.6,9.5,12.7,91.9,34.6,36014,36835,78446,5.5,10557,179487,1.7,26321,34702,8.8,0.4,4.7,0,0,27.7,6072287,15040891,7005059,15695,656980,1000,798.58,561.9
142375,71020,220437,6.3,23.3,14.2,51.7,0.701,0.211,0.6,5.8,0.1,2.3,0.156,58.3,89,10.5,19.9,87.1,29.1,29784,30592,61683,13,11449,171022,1,28223,38807,8.6,0.4,7.2,0,0,27.8,4150100,0,5859348,11321,678828,1506,221.26,2321.5
18626,28237,48375,4.9,17.8,23.9,51.2,0.916,0.05,0.4,1,0.1,1.9,0.073,85.7,89.7,5.4,9.7,89.1,28.7,8802,32948,56494,10.1,3806,24732,0.9,7862,11290,1.3,0,0,0,0,27,0,276098,1584880,16390,516973,638,251.43,386.9
27045,24213,53018,6.8,23.8,13.6,48.4,0.721,0.219,1.6,1.4,0.1,2.8,0.293,47.9,88,10.5,25.3,77,14.3,8555,22524,50750,17.5,2898,43640,-3.9,6032,8637,9.5,0,3.7,0,8.6,21.4,2591390,0,1952706,12566,155140,212,483.7,324.4
231031,62059,299808,6.7,24.2,12.4,51.9,0.497,0.419,0.7,5.3,0.1,2.3,0.221,32.2,89.4,24.8,33.8,83.5,32,27099,32181,55095,16.6,18765,287991,-0.5,60582,67880,21,0.5,6.4,0.1,11.4,30.9,10422670,12622517,7750635,10077,1335840,2617,126.21,6211.5
66355,66949,138388,5.5,22.9,14.1,51.4,0.839,0.108,0.2,3,0.1,2,0.057,79.4,91.1,5.3,8.6,90.9,28.4,19351,32600,74524,8.1,5894,87331,1.9,15030,20252,7.6,0,3.1,0,2.2,27.5,15679384,8962489,4352549,15216,379388,491,322.01,895.3
149980,45615,201425,7,20.3,10.8,50.2,0.658,0.151,1.2,15.2,0.2,2.6,0.431,29.3,85.9,41.2,59.2,81.9,36.3,16139,32641,58442,16.8,12879,211322,0.4,48782,55520,11.8,0,12.6,0,25.5,27.7,2614244,14524927,6099871,10350,880714,4621,46.19,13731.4
28797,38565,70582,3.9,21.2,15.7,50.6,0.92,0.027,0.2,3.7,0.1,1.2,0.062,86.5,91.7,8.4,10.8,94.2,47.6,7291,50349,106143,4,3877,45457,1.5,11463,15120,0,0,3.4,0,0,29.8,0,629452,2186600,16865,175768,348,427.82,300
93721,42604,141332,5.9,21.9,13.8,51,0.655,0.212,0.6,10.4,0.2,2.2,0.166,51.8,87.6,20.9,28.2,87.3,38.8,17493,37465,73480,11.2,9701,185388,2,23100,30067,7.6,0,10,0,4.8,29.9,0,8420998,5089133,14004,695848,368,224.56,1632.2
164887,108981,282668,6,22,13.4,50.8,0.621,0.112,0.6,24,0.1,2,0.199,45.4,89,31,41.8,88.8,40.1,33164,34345,79596,8.5,21535,381947,3.6,51540,67778,0,0.3,19.5,0,9.4,26,12207299,32631795,11131032,14274,1275068,1901,308.91,2621.6
135825,165305,311474,5.2,22.3,15.6,51.4,0.847,0.077,0.3,5.5,0.1,1.7,0.105,75.7,91.1,13.2,17.1,92.2,41.4,35366,42749,84526,7,18959,224059,1.4,50713,63391,3.1,0,5.9,0,3.8,25.7,3468419,11058874,11225081,17511,1153458,1484,468.79,1344.7
